id,"sid","cve","os","org","flavor"
465,"3-15048","CVE-2008-4250","Windows","microsoft","XP"
466,"3-15049","CVE-2008-4250","Windows","microsoft","XP"
467,"3-15050","CVE-2008-4250","Windows","microsoft","XP"
468,"3-15051","CVE-2008-4250","Windows","microsoft","XP"
469,"3-15052","CVE-2008-4250","Windows","microsoft","XP"
470,"3-15053","CVE-2008-4250","Windows","microsoft","XP"
471,"3-15054","CVE-2008-4250","Windows","microsoft","XP"
472,"3-15055","CVE-2008-4250","Windows","microsoft","XP"
473,"3-15056","CVE-2008-4250","Windows","microsoft","XP"
474,"3-15057","CVE-2008-4250","Windows","microsoft","XP"
475,"3-15058","CVE-2008-4250","Windows","microsoft","XP"
476,"3-15059","CVE-2008-4250","Windows","microsoft","XP"
477,"3-15060","CVE-2008-4250","Windows","microsoft","XP"
478,"3-15061","CVE-2008-4250","Windows","microsoft","XP"
479,"3-15062","CVE-2008-4250","Windows","microsoft","XP"
480,"3-15063","CVE-2008-4250","Windows","microsoft","XP"
481,"3-15064","CVE-2008-4250","Windows","microsoft","XP"
482,"3-15065","CVE-2008-4250","Windows","microsoft","XP"
483,"3-15066","CVE-2008-4250","Windows","microsoft","XP"
484,"3-15067","CVE-2008-4250","Windows","microsoft","XP"
485,"3-15068","CVE-2008-4250","Windows","microsoft","XP"
486,"3-15196","CVE-2008-4834","Windows","microsoft","XP"
487,"3-15197","CVE-2008-4834","Windows","microsoft","XP"
488,"3-15198","CVE-2008-4834","Windows","microsoft","XP"
489,"3-15199","CVE-2008-4834","Windows","microsoft","XP"
490,"3-15200","CVE-2008-4834","Windows","microsoft","XP"
491,"3-15201","CVE-2008-4834","Windows","microsoft","XP"
492,"3-15202","CVE-2008-4834","Windows","microsoft","XP"
493,"3-15203","CVE-2008-4834","Windows","microsoft","XP"
494,"3-15204","CVE-2008-4834","Windows","microsoft","XP"
495,"3-15205","CVE-2008-4834","Windows","microsoft","XP"
496,"3-15206","CVE-2008-4834","Windows","microsoft","XP"
497,"3-15207","CVE-2008-4834","Windows","microsoft","XP"
498,"3-15208","CVE-2008-4834","Windows","microsoft","XP"
499,"3-15209","CVE-2008-4834","Windows","microsoft","XP"
500,"3-15210","CVE-2008-4834","Windows","microsoft","XP"
501,"3-15211","CVE-2008-4834","Windows","microsoft","XP"
502,"3-15212","CVE-2008-4835","Windows","microsoft","XP"
503,"3-15213","CVE-2008-4835","Windows","microsoft","XP"
504,"3-15214","CVE-2008-4835","Windows","microsoft","XP"
505,"3-15215","CVE-2008-4835","Windows","microsoft","XP"
506,"3-15216","CVE-2008-4835","Windows","microsoft","XP"
507,"3-15217","CVE-2008-4835","Windows","microsoft","XP"
508,"3-15218","CVE-2008-4835","Windows","microsoft","XP"
509,"3-15219","CVE-2008-4835","Windows","microsoft","XP"
510,"3-15220","CVE-2008-4835","Windows","microsoft","XP"
511,"3-15221","CVE-2008-4835","Windows","microsoft","XP"
512,"3-15222","CVE-2008-4835","Windows","microsoft","XP"
513,"3-15223","CVE-2008-4835","Windows","microsoft","XP"
514,"3-15224","CVE-2008-4835","Windows","microsoft","XP"
515,"3-15225","CVE-2008-4835","Windows","microsoft","XP"
516,"3-15226","CVE-2008-4835","Windows","microsoft","XP"
517,"3-15227","CVE-2008-4835","Windows","microsoft","XP"
518,"3-15975","CVE-2007-2834","Linux","debian","2.4"
519,"3-15976","CVE-2007-2834","Linux","debian","2.4"
520,"3-16294","CVE-2008-4609","Linux","linux","2"
521,"3-16366","CVE-2010-0018","Windows","microsoft","2000"
522,"3-16395","CVE-2010-0020","Windows","microsoft","2000"
523,"3-16396","CVE-2010-0021","Windows","microsoft","2000"
524,"3-16397","CVE-2010-0022","Windows","microsoft","2000"
525,"3-16398","CVE-2010-0022","Windows","microsoft","2000"
526,"3-16399","CVE-2010-0022","Windows","microsoft","2000"
527,"3-16400","CVE-2010-0022","Windows","microsoft","2000"
528,"3-16401","CVE-2010-0022","Windows","microsoft","2000"
529,"3-16402","CVE-2010-0022","Windows","microsoft","2000"
530,"3-16403","CVE-2010-0022","Windows","microsoft","2000"
531,"3-16404","CVE-2010-0022","Windows","microsoft","2000"
532,"3-16414","CVE-2010-0027","Windows","microsoft","2000"
533,"3-16417","CVE-2010-0016","Windows","microsoft","XP"
534,"3-16419","CVE-2010-0252","Windows","microsoft","2000"
535,"3-16420","CVE-2010-0252","Windows","microsoft","2000"
536,"3-16422","CVE-2010-0028","Windows","microsoft","2000"
537,"3-16509","CVE-2010-0494","Windows","microsoft","2000"
538,"3-16534","CVE-2010-0024","Windows","microsoft","2000"
539,"3-16537","CVE-2010-0268","Windows","microsoft","2000"
540,"3-16539","CVE-2010-0269","Windows","microsoft","2000"
541,"3-16541","CVE-2010-0478","Windows","microsoft","2000"
542,"3-16543","CVE-2010-0480","Windows","microsoft","2000"
543,"3-17128","CVE-2010-2553","Windows","microsoft","Vista"
544,"3-17242","CVE-2010-0818","Windows","microsoft","Vista"
545,"3-17252","CVE-2010-2729","Windows","microsoft","Vista"
546,"3-17253","CVE-2010-2729","Windows","microsoft","Vista"
547,"3-17667","CVE-2008-1441","Windows","microsoft","XP"
548,"3-17723","CVE-2010-0231","Windows","microsoft","2000"
549,"3-17753","CVE-2010-3225","Windows","microsoft","Vista"
550,"3-18277","CVE-2010-3145","Windows","microsoft","Vista"
551,"3-18278","CVE-2010-3145","Windows","microsoft","Vista"
552,"3-18408","CVE-2011-0045","Windows","microsoft","XP"
553,"3-18413","CVE-2011-0045","Windows","microsoft","XP"
554,"3-18498","CVE-2011-0042","Windows","microsoft","Vista"
555,"3-18668","CVE-2011-1243","Windows","microsoft","XP"
556,"3-21354","CVE-2010-1690","Windows","microsoft","2000"
557,"3-21355","CVE-2010-1690","Windows","microsoft","2000"
558,"3-24971","CVE-2012-2556","Windows","microsoft","7 or 8"
559,"3-26877","CVE-2013-3138","Windows","microsoft","Vista"
560,"30326","CVE-2013-2206","Linux","linux","3.7"
561,"33982","CVE-2013-7331","Windows","microsoft","7 or 8"
562,"33983","CVE-2013-7331","Windows","microsoft","7 or 8"
563,"34061","CVE-2015-1635","Windows","microsoft","7 or 8"
